source_workbook,release_year,table,vehicle_type,year,jurisdiction,average_age_years
93090do001_2021.xls,2021,Table 3,Campervans,2021,TAS,22.8
93090do001_2021.xls,2021,Table 3,Campervans,2021,VIC,16.4
93090do001_2021.xls,2021,Table 3,Campervans,2021,WA,22.9
93090DO001_31201501.xls,2015,Table 3,Heavy rigid trucks,2010,ACT,10.9
93090DO001_31201501.xls,2015,Table 3,Heavy rigid trucks,2010,AUS,15.4
93090DO001_31201501.xls,2015,Table 3,Heavy rigid trucks,2010,NSW,14.0
93090DO001_31201501.xls,2015,Table 3,Heavy rigid trucks,2010,NT,12.6
93090DO001_31201501.xls,2015,Table 3,Heavy rigid trucks,2010,QLD,13.8
93090DO001_31201501.xls,2015,Table 3,Heavy rigid trucks,2010,SA,16.7
93090DO001_31201501.xls,2015,Table 3,Heavy rigid trucks,2010,TAS,16.7
93090DO001_31201501.xls,2015,Table 3,Heavy rigid trucks,2010,VIC,17.0
93090DO001_31201501.xls,2015,Table 3,Heavy rigid trucks,2010,WA,16.9
93090do001_2016.xls,2016,Table 3,Heavy rigid trucks,2011,ACT,11.0
93090do001_2016.xls,2016,Table 3,Heavy rigid trucks,2011,AUS,15.5
93090do001_2016.xls,2016,Table 3,Heavy rigid trucks,2011,NSW,14.2
93090do001_2016.xls,2016,Table 3,Heavy rigid trucks,2011,NT,12.7
93090do001_2016.xls,2016,Table 3,Heavy rigid trucks,2011,QLD,13.9
93090do001_2016.xls,2016,Table 3,Heavy rigid trucks,2011,SA,16.8
93090do001_2016.xls,2016,Table 3,Heavy rigid trucks,2011,TAS,16.7
93090do001_2016.xls,2016,Table 3,Heavy rigid trucks,2011,VIC,17.0
93090do001_2016.xls,2016,Table 3,Heavy rigid trucks,2011,WA,16.9
93090do001_2017.xls,2017,Table 3,Heavy rigid trucks,2012,ACT,11.0
93090do001_2017.xls,2017,Table 3,Heavy rigid trucks,2012,AUS,15.6
93090do001_2017.xls,2017,Table 3,Heavy rigid trucks,2012,NSW,14.4
93090do001_2017.xls,2017,Table 3,Heavy rigid trucks,2012,NT,12.9
93090do001_2017.xls,2017,Table 3,Heavy rigid trucks,2012,QLD,14.0
93090do001_2017.xls,2017,Table 3,Heavy rigid trucks,2012,SA,16.8
93090do001_2017.xls,2017,Table 3,Heavy rigid trucks,2012,TAS,17.4
93090do001_2017.xls,2017,Table 3,Heavy rigid trucks,2012,VIC,17.0
93090do001_2017.xls,2017,Table 3,Heavy rigid trucks,2012,WA,16.9
93090do001_2018.xls,2018,Table 3,Heavy rigid trucks,2013,ACT,11.2
93090do001_2018.xls,2018,Table 3,Heavy rigid trucks,2013,AUS,15.6
93090do001_2018.xls,2018,Table 3,Heavy rigid trucks,2013,NSW,14.5
93090do001_2018.xls,2018,Table 3,Heavy rigid trucks,2013,NT,13.1
93090do001_2018.xls,2018,Table 3,Heavy rigid trucks,2013,QLD,14.0
93090do001_2018.xls,2018,Table 3,Heavy rigid trucks,2013,SA,16.7
93090do001_2018.xls,2018,Table 3,Heavy rigid trucks,2013,TAS,17.5
93090do001_2018.xls,2018,Table 3,Heavy rigid trucks,2013,VIC,17.0
93090do001_2018.xls,2018,Table 3,Heavy rigid trucks,2013,WA,16.8
93090do001_2019.xls,2019,Table 3,Heavy rigid trucks,2014,ACT,11.3
93090do001_2019.xls,2019,Table 3,Heavy rigid trucks,2014,AUS,15.6
93090do001_2019.xls,2019,Table 3,Heavy rigid trucks,2014,NSW,14.6
93090do001_2019.xls,2019,Table 3,Heavy rigid trucks,2014,NT,12.9
93090do001_2019.xls,2019,Table 3,Heavy rigid trucks,2014,QLD,14.1
93090do001_2019.xls,2019,Table 3,Heavy rigid trucks,2014,SA,16.8
93090do001_2019.xls,2019,Table 3,Heavy rigid trucks,2014,TAS,17.6
93090do001_2019.xls,2019,Table 3,Heavy rigid trucks,2014,VIC,17.0
93090do001_2019.xls,2019,Table 3,Heavy rigid trucks,2014,WA,16.7
93090do001_2020.xls,2020,Table 3,Heavy rigid trucks,2015,ACT,11.4
93090do001_2020.xls,2020,Table 3,Heavy rigid trucks,2015,AUS,15.7
93090do001_2020.xls,2020,Table 3,Heavy rigid trucks,2015,NSW,14.7
93090do001_2020.xls,2020,Table 3,Heavy rigid trucks,2015,NT,12.9
93090do001_2020.xls,2020,Table 3,Heavy rigid trucks,2015,QLD,14.3
93090do001_2020.xls,2020,Table 3,Heavy rigid trucks,2015,SA,16.7
93090do001_2020.xls,2020,Table 3,Heavy rigid trucks,2015,TAS,17.8
93090do001_2020.xls,2020,Table 3,Heavy rigid trucks,2015,VIC,17.0
93090do001_2020.xls,2020,Table 3,Heavy rigid trucks,2015,WA,16.8
93090do001_2021.xls,2021,Table 3,Heavy rigid trucks,2016,ACT,11.7
