source_workbook,release_year,table,vehicle_type,year,jurisdiction,average_age_years
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2023,NT,10.27
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2023,ACT,11.96
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2023,AUS,12.26
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2024,NSW,10.69
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2024,VIC,11.91
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2024,QLD,13.12
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2024,SA,14.18
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2024,WA,15.59
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2024,TAS,13.49
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2024,NT,10.4
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2024,ACT,12.24
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2024,AUS,12.51
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Total motor vehicles,2022,NSW,10.22
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Total motor vehicles,2022,VIC,10.84
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Total motor vehicles,2022,QLD,11.29
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Total motor vehicles,2022,SA,12.46
