year,dependence,scenario_family,lever,weak_alignment_probability,low_uptake_shortfall,renewable_shortfall,fossil_excess,emissions_excess,activity_excess
2028,independent,conservative,fossil_reduction,0.0,0.1907590071705968,0.2776790209622209,0.18321041159705156,0.1248487617415843,0.2892076233072984
2028,independent,conservative,balanced_package,0.2992,0.048808006120256785,0.1123543025042407,0.24620215471756707,0.1248487617415843,0.2892076233072984
2028,independent,conservative,delay_case,0.0,0.22361008069834035,0.33353364019283466,0.40899318132367796,0.2596376999486499,0.2892076233072984
2029,independent,conservative,none,0.0,0.18989596319471067,0.2780382195422984,0.36128295706627617,0.23235050102639535,0.28746041070739886
2029,independent,conservative,uptake_push,0.66795,0.015119726550699241,0.2780382195422984,0.26425660080676044,0.23235050102639535,0.28746041070739886
2029,independent,conservative,renewable_push,0.0,0.18989596319471067,0.05886367763251483,0.36128295706627617,0.14510733940393797,0.28746041070739886
2029,independent,conservative,fossil_reduction,0.0,0.18989596319471067,0.2780382195422984,0.18217445207266764,0.12512091707724304,0.28746041070739886
2029,independent,conservative,balanced_package,0.30865,0.04834517268065517,0.11241569681975988,0.24499829802091935,0.12512091707724304,0.28746041070739886
2029,independent,conservative,delay_case,0.0,0.22290347635451563,0.33382099905689666,0.40771016826737405,0.26010354785126893,0.28746041070739886
2030,independent,conservative,none,0.0,0.1893159153165556,0.27933803669988877,0.363606352265187,0.23063213521087533,0.2892407229247263
2030,independent,conservative,uptake_push,0.67205,0.014930388717821768,0.27933803669988877,0.2662915343328589,0.23063213521087533,0.2892407229247263
2030,independent,conservative,renewable_push,0.0,0.1893159153165556,0.05930016136160713,0.363606352265187,0.14377117233690648,0.2892407229247263
2030,independent,conservative,fossil_reduction,0.0,0.1893159153165556,0.27933803669988877,0.18384376908663477,0.12393642976255892,0.2892407229247263
2030,independent,conservative,balanced_package,0.30715,0.047938375555707916,0.11316253821224177,0.24692396318765733,0.12393642976255892,0.2892407229247263
2030,independent,conservative,delay_case,0.0,0.22239456893877463,0.3348608527829688,0.409779545691711,0.2585913859336116,0.2892407229247263
2026,independent,stress_tail,none,0.0,0.31189177247558075,0.45777523171267587,0.5940190964472489,0.3812756593461804,0.4735048621075395
2026,independent,stress_tail,uptake_push,0.23065,0.06985096313065739,0.45777523171267587,0.463097225645953,0.3812756593461804,0.4735048621075395
2026,independent,stress_tail,renewable_push,0.0,0.31189177247558075,0.1424871416035904,0.5940190964472489,0.27115768717267963,0.4735048621075395
2026,independent,stress_tail,fossil_reduction,0.0,0.31189177247558075,0.45777523171267587,0.3489484103591868,0.24362819412930475,0.4735048621075395
2026,independent,stress_tail,balanced_package,0.0,0.13490524461447018,0.23256945306332924,0.43601215267238974,0.24362819412930475,0.4735048621075395
2026,independent,stress_tail,delay_case,0.0,0.3236448211807866,0.4776106087931985,0.6106315055019966,0.3911576871726797,0.4735048621075395
2027,independent,stress_tail,none,0.0,0.31161515210253266,0.4568762739326456,0.5939984539915808,0.37992388271088945,0.47302464842800507
2027,independent,stress_tail,uptake_push,0.2377,0.06968568322794222,0.4568762739326456,0.4630584838197514,0.37992388271088945,0.47302464842800507
2027,independent,stress_tail,renewable_push,0.0,0.31161515210253266,0.14190281904657098,0.5939984539915808,0.2699681237336241,0.47302464842800507
2027,independent,stress_tail,fossil_reduction,0.0,0.31161515210253266,0.4568762739326456,0.34892032625737873,0.24247918398930746,0.47302464842800507
2027,independent,stress_tail,balanced_package,0.0,0.13470567172351622,0.23189523472830656,0.43598200432500833,0.24247918398930746,0.47302464842800507
2027,independent,stress_tail,delay_case,0.0,0.32342747107676423,0.47689144256917443,0.6106003250318339,0.3899681237336239,0.47302464842800507
2028,independent,stress_tail,none,0.0,0.3121138806816297,0.4579907182732485,0.5940598765640979,0.3812427530352563,0.47431308049100507
2028,independent,stress_tail,uptake_push,0.23295,0.07002585904811742,0.4579907182732485,0.46310390112135535,0.3812427530352563,0.47431308049100507
2028,independent,stress_tail,renewable_push,0.0,0.3121138806816297,0.1426272078679628,0.5940598765640979,0.2711287296190664,0.47431308049100507
